Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """
13,3,0,3,0,1,""" bad bitches is the only thing that i like """
16,3,0,3,0,1,""" bitch plz whatever """
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;"
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
60,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
77,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
82,3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
87,3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
98,3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
106,3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
113,3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch"
118,3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
126,3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same"
127,3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
137,3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
139,3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
143,3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
147,3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
150,3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
154,4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
155,3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"
157,6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
161,3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
163,3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me."
164,3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"
165,3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
167,3,0,2,1,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
168,3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
176,3,0,3,0,1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho"
188,3,0,1,2,2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
189,3,0,1,2,2,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
191,3,0,3,0,1,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
192,3,0,0,3,2,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"
194,3,0,3,0,1,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
195,3,0,3,0,1,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"
197,3,0,3,0,1,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
199,3,0,3,0,1,"""@MvckFadden: ""Stay beautiful you bitch"""""
203,3,0,2,1,1,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh."
204,3,2,1,0,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
205,3,0,3,0,1,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
206,3,2,1,0,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
208,6,0,5,1,1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
209,3,0,3,0,1,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
215,3,0,3,0,1,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
217,3,0,3,0,1,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
228,3,1,2,0,1,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
236,3,0,3,0,1,"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
237,3,0,3,0,1,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
238,3,0,3,0,1,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
240,6,0,6,0,1,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
261,3,0,3,0,1,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5"
272,3,0,0,3,2,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
274,3,0,3,0,1,"""@Vbomb20: @Woodchuck20 pussy"" love it"
279,3,0,3,0,1,"""@WBeezy_: ""@Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
285,3,1,2,0,1,"""@XoXo__Angiee: Bruno fag boy"" you love me."
286,3,0,3,0,1,"""@YEHits_Von: &#8220;@Run_DRC: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
298,4,0,4,0,1,"""@__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
306,3,1,2,0,1,"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe.."
307,3,1,2,0,1,"""@adriwadrri: No love for these fuck niggas"" hoes*"
319,3,0,3,0,1,"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
341,3,0,0,3,2,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"""
343,3,0,3,0,1,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
345,3,0,3,0,1,"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
347,3,0,3,0,1,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon"
357,3,2,1,0,0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
363,3,0,3,0,1,"""@leikant: This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies"
367,3,0,3,0,1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"
369,3,0,0,3,2,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
370,3,0,3,0,1,"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Austin12"
379,3,0,3,0,1,"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga"
389,3,0,0,3,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"
391,3,0,3,0,1,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah"
394,3,0,3,0,1,"""@scallynikelad: &#8220;@sleazytwinks: So hot!! RT @opcinjen: Lick it, bitch http://t.co/JLoUkqDcOM&#8221;"" fuck yeah. Eat that trainer u dirty fucker"
396,6,0,2,4,2,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo"
397,3,0,3,0,1,"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks"
409,3,0,3,0,1,"""@thotmouths: http://t.co/aQKGOrAUxx""

Lmao bitch got on some huggies"
412,3,0,3,0,1,"""@trutherbot: does he look like a bitch?"" @el_capacitor"
418,3,0,3,0,1,"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch"
423,3,0,3,0,1,"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch."
425,3,0,3,0,1,"""A pussy a day keeps the devil away"" -@DoperThanYola"
442,3,0,3,0,1,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd"
447,3,1,2,0,1,"""Eat the pussy like a real nigga hungry"""
448,3,1,2,0,1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV"
452,3,0,3,0,1,"""Foreign chick, no lie.. Man that bitch Beautiful"""
465,3,0,3,0,1,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone"
483,3,0,3,0,1,"""I got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi"""
489,3,0,3,0,1,"""I hope you don't get mad, ladies. I only call you bitches 'bitches' bc I don't know your names individually."" -Katt Williams @LetMicahDown"
496,3,0,3,0,1,"""I used to dress up like a cop too.""
""Oh really?""
""Yeah...right after 9/11...mad pussy.""
""Really?""
""Yes...I'll NEVER FORGET."""
497,3,0,3,0,1,"""I went to jail for a flock, &amp; came home wit a strike.. You went to jail as a bitch, came home as a dike""- @YG"
500,3,0,3,0,1,"""I would rather you call me bitch than sir"" -my manager"
510,3,1,2,0,1,"""I'm sorry I fucked yo bitch... But she really dig a nigga"" @KingL"
513,3,0,3,0,1,"""If you love her then hide yo bitch so you'll keep shorty.""
@wizkhalifa"
517,3,0,3,0,1,"""In My Mind""
Gotta be the dumb hoe anthem..."
523,3,1,2,0,1,"""Julia Roberts, you're a ho"" @LaurenGardner8 #NottingHill"
531,3,0,3,0,1,"""Lmao @SWILLA_LO: The d.rose adidas are lighter than my phone .... Shit is retarded"""
534,3,0,1,2,2,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids."""
535,3,2,1,0,0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
538,3,0,3,0,1,"""My twitter was hacked"" = I'm too pussy to admit that I said it and now I want to act like I never said it."
548,3,0,1,2,2,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game."
550,3,0,3,0,1,"""Pistol whip my Dickau, shoot yo bitch club up.""

Sometimes freestyles be freestyles. And I'm okay with that."
554,3,0,3,0,1,"""SORRY JB FAN&#65292;REALLY JUSTIN COME BACK"". That is the top comment on a Justin Timberlake video with 10 million views. Son of a fucking bitch!"
561,3,0,3,0,1,"""She was a bitch anyway"""
566,3,0,3,0,1,"""Stop looking us and go eat some pussy, you yuppie fucks."""
569,6,1,3,2,1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality."
578,3,0,3,0,1,"""This is for all the fans that waited, the bitch niggas that hated / Old hoes we dated, look mama, we&#8230; http://t.co/sNRY6A7VYB"
579,3,0,3,0,1,"""This is for my ghetto motherfuckers"" -Missy Elliott"
580,3,0,0,3,2,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26"
581,3,1,2,0,1,"""Those ratchet broads don't represent me but YOUR white ass can't talk trash about them 'cause you on racist shit"" Black"
597,3,2,1,0,0,"""Who the fuck you callin jiggaboo, nigga?!"""
603,3,0,3,0,1,"""Will shank a bitch for ceviche"""
607,3,0,0,3,2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
622,6,1,5,0,1,"""You look cute today :)"".. ""Really?!"" Helll no, swerve hoe!"
624,3,2,1,0,0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD"
629,3,1,2,0,1,"""Your a queer"". &#128530;&#128530;&#128530;&#128530;"
638,3,0,3,0,1,"""but I love him"" nah bitch that ain't love."
639,6,1,5,0,1,"""but pussy is the root of all drama an attribute put up in they head by they mama."""
640,3,0,3,0,1,"""call me Keyshawn Johnson cause im catchin erry hoe"""
642,6,0,6,0,1,"""day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch"""
644,3,0,3,0,1,"""dont show me no bitch unless she look like Dolly Parton!!!"""
655,3,0,3,0,1,"""omg this bitch is fucking stupid I swear blah blah blah"" *a week later* omg ilysm bae ur my best friend I swear"
660,3,0,3,0,1,"""whatever you are, be a good one."" -Abraham Lincoln, this quote is not for yall hoes!"
671,3,0,3,0,1,#2013TaughtMe how pussy feels &#128514;&#128076;
